Accuracy, Total Time, L1+L2 Time, L3 Time, L4 Time, L5 Time, Result Time
0.9749, 0.64108, 0.1581, 0.18557, 0.1311, 0.15401, 0.01189
0.9749, 0.64162, 0.15823, 0.18559, 0.13126, 0.1542, 0.01194
0.9749, 0.64255, 0.15838, 0.18579, 0.13144, 0.15435, 0.01213
0.9749, 0.6416, 0.15831, 0.18556, 0.13123, 0.15402, 0.01205
0.9749, 0.64217, 0.15843, 0.18566, 0.1314, 0.15417, 0.01198
0.9749, 0.64363, 0.15864, 0.18608, 0.1318, 0.15455, 0.01214
0.9749, 0.64145, 0.15828, 0.18553, 0.13132, 0.15398, 0.01192
0.9749, 0.64229, 0.15836, 0.1857, 0.13147, 0.15433, 0.01201
0.9749, 0.64219, 0.15827, 0.18584, 0.13142, 0.15417, 0.01209
0.9749, 0.64146, 0.15819, 0.18556, 0.13122, 0.15402, 0.01207
0.9749, 0.64227, 0.15841, 0.18581, 0.13132, 0.15422, 0.01207
0.9749, 0.64195, 0.15814, 0.18583, 0.13142, 0.15409, 0.01205
0.9749, 0.64031, 0.15802, 0.18517, 0.13104, 0.15378, 0.0119
0.9749, 0.64352, 0.15882, 0.18592, 0.13188, 0.15441, 0.01207
0.9749, 0.64258, 0.15838, 0.18577, 0.13143, 0.15447, 0.01211
0.9749, 0.64226, 0.15844, 0.18562, 0.13153, 0.15412, 0.01215
0.9749, 0.64135, 0.15814, 0.18556, 0.13116, 0.15405, 0.01203
0.9749, 0.64265, 0.15853, 0.18581, 0.13154, 0.15429, 0.01208
0.9749, 0.64136, 0.15827, 0.18543, 0.13127, 0.15406, 0.0119
0.9749, 0.64126, 0.15814, 0.18547, 0.13131, 0.15397, 0.01197
0.9749, 0.64189, 0.15817, 0.1857, 0.13136, 0.15423, 0.01202
0.9749, 0.64237, 0.15834, 0.18578, 0.13148, 0.15427, 0.01209
0.9749, 0.6414, 0.15816, 0.18557, 0.13122, 0.15406, 0.01198
0.9749, 0.64168, 0.15839, 0.18555, 0.13125, 0.15407, 0.01201
0.9749, 0.64114, 0.15805, 0.18546, 0.13128, 0.15395, 0.01198
0.9749, 0.6416, 0.15799, 0.18575, 0.13135, 0.15415, 0.01195
0.9749, 0.64144, 0.15805, 0.18556, 0.13124, 0.15411, 0.01207
0.9749, 0.64188, 0.15822, 0.18575, 0.1313, 0.15416, 0.01204
0.9749, 0.6417, 0.15807, 0.18565, 0.13137, 0.15413, 0.01207
0.9749, 0.64192, 0.15831, 0.18555, 0.1313, 0.15422, 0.01211
0.9749, 0.64156, 0.1581, 0.1855, 0.13124, 0.15427, 0.01185
0.9749, 0.64174, 0.15823, 0.18557, 0.13127, 0.15423, 0.01203
0.9749, 0.64154, 0.15804, 0.18561, 0.13134, 0.15408, 0.01206
0.9749, 0.64177, 0.15819, 0.18559, 0.13134, 0.15419, 0.01205
0.9749, 0.64212, 0.1584, 0.18549, 0.13133, 0.1543, 0.01212
0.9749, 0.64062, 0.15803, 0.1853, 0.13111, 0.15394, 0.01184
0.9749, 0.64286, 0.15853, 0.18588, 0.13153, 0.15442, 0.01209
0.9749, 0.64182, 0.15835, 0.18558, 0.13133, 0.15412, 0.01203
0.9749, 0.64507, 0.15908, 0.18643, 0.13229, 0.15476, 0.01207
0.9749, 0.64462, 0.15887, 0.18609, 0.13212, 0.15481, 0.01219
0.9749, 0.64109, 0.15807, 0.18549, 0.13132, 0.15376, 0.01196
0.9749, 0.64292, 0.15862, 0.18588, 0.13165, 0.15437, 0.012
0.9749, 0.64201, 0.15836, 0.18567, 0.13136, 0.15413, 0.01206
0.9749, 0.64158, 0.15809, 0.1855, 0.13147, 0.15407, 0.01185
0.9749, 0.64118, 0.15818, 0.18556, 0.13121, 0.15391, 0.0119
0.9749, 0.6414, 0.15812, 0.18561, 0.13129, 0.15401, 0.01185
0.9749, 0.64144, 0.15819, 0.18543, 0.13125, 0.15411, 0.01191
0.9749, 0.64246, 0.15847, 0.18572, 0.13163, 0.1542, 0.01204
0.9749, 0.64132, 0.15814, 0.18552, 0.13126, 0.15397, 0.01185
0.9749, 0.64181, 0.15822, 0.18547, 0.13155, 0.15415, 0.01182
0.9749, 0.64079, 0.15793, 0.18527, 0.13114, 0.15403, 0.01184
0.9749, 0.64511, 0.15901, 0.18631, 0.13222, 0.15498, 0.01217
0.9749, 0.64742, 0.15975, 0.1868, 0.13285, 0.15539, 0.01221
0.9749, 0.64467, 0.15884, 0.18635, 0.13195, 0.15489, 0.01222
0.9749, 0.64053, 0.15803, 0.18525, 0.13109, 0.15389, 0.01184
0.9749, 0.64046, 0.15792, 0.18527, 0.13102, 0.15382, 0.01183
0.9749, 0.64104, 0.15816, 0.1854, 0.13108, 0.15402, 0.01189
