Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.57147, 0.15575, 0.24836, 0.15458, 0.01249
0.9749, 0.57139, 0.1558, 0.24828, 0.15457, 0.01244
0.9749, 0.57115, 0.15569, 0.24825, 0.15449, 0.01243
0.9749, 0.57094, 0.15559, 0.24811, 0.15449, 0.01245
0.9749, 0.57164, 0.15602, 0.2482, 0.15465, 0.01248
0.9749, 0.57147, 0.15594, 0.24812, 0.15464, 0.01247
0.9749, 0.57214, 0.15603, 0.24845, 0.15488, 0.01248
0.9749, 0.57152, 0.15579, 0.24818, 0.15474, 0.01251
0.9749, 0.57096, 0.15561, 0.24815, 0.15447, 0.01243
0.9749, 0.57109, 0.15565, 0.24816, 0.15458, 0.01241
0.9749, 0.57106, 0.15565, 0.24807, 0.1546, 0.01243
0.9749, 0.57128, 0.15578, 0.24822, 0.15455, 0.01244
0.9749, 0.57089, 0.15549, 0.24826, 0.15444, 0.01242
0.9749, 0.57154, 0.15588, 0.2482, 0.15472, 0.01244
0.9749, 0.5709, 0.15571, 0.24803, 0.15441, 0.01244
0.9749, 0.57113, 0.1557, 0.24818, 0.15453, 0.01242
0.9749, 0.57105, 0.15573, 0.24814, 0.1545, 0.01238
0.9749, 0.57072, 0.15557, 0.24807, 0.15439, 0.01239
0.9749, 0.57043, 0.15555, 0.24788, 0.15448, 0.01222
0.9749, 0.57073, 0.15539, 0.2481, 0.15457, 0.01237
0.9749, 0.57075, 0.15555, 0.24811, 0.15443, 0.01236
0.9749, 0.57111, 0.15551, 0.24827, 0.1546, 0.01243
0.9749, 0.57063, 0.15541, 0.24812, 0.15444, 0.01236
0.9749, 0.57091, 0.15543, 0.24817, 0.15459, 0.01243
0.9749, 0.57035, 0.15531, 0.24804, 0.1543, 0.01239
0.9749, 0.57117, 0.15551, 0.24841, 0.15449, 0.01245
0.9749, 0.57054, 0.15535, 0.2481, 0.15447, 0.01231
0.9749, 0.57101, 0.15548, 0.24826, 0.15457, 0.01241
0.9749, 0.57039, 0.15549, 0.24798, 0.15433, 0.0123
0.9749, 0.56995, 0.1554, 0.24786, 0.1542, 0.01219
0.9749, 0.57016, 0.15541, 0.24785, 0.15448, 0.01213
0.9749, 0.57001, 0.15536, 0.24781, 0.15433, 0.01221
0.9749, 0.57023, 0.15537, 0.24791, 0.1544, 0.01225
0.9749, 0.57036, 0.15552, 0.24793, 0.15436, 0.01225
0.9749, 0.57022, 0.15544, 0.24787, 0.15444, 0.01217
0.9749, 0.57015, 0.1554, 0.24782, 0.15444, 0.0122
0.9749, 0.57074, 0.15538, 0.24801, 0.15463, 0.01242
0.9749, 0.57072, 0.15542, 0.24804, 0.15454, 0.01241
0.9749, 0.5707, 0.15535, 0.24812, 0.15454, 0.0124
0.9749, 0.57086, 0.15546, 0.24815, 0.15454, 0.01241
0.9749, 0.57075, 0.15533, 0.24813, 0.15458, 0.01241
0.9749, 0.57102, 0.15549, 0.24827, 0.1546, 0.01236
0.9749, 0.57085, 0.15546, 0.24817, 0.1545, 0.01242
0.9749, 0.57087, 0.15551, 0.24816, 0.15451, 0.0124
0.9749, 0.57051, 0.15534, 0.24808, 0.15444, 0.01235
0.9749, 0.57078, 0.15547, 0.24815, 0.15448, 0.01238
0.9749, 0.57093, 0.15549, 0.2482, 0.15457, 0.01237
0.9749, 0.57074, 0.15549, 0.24809, 0.15443, 0.01241
0.9749, 0.57103, 0.15537, 0.24831, 0.15467, 0.01238
0.9749, 0.57102, 0.15566, 0.24812, 0.15457, 0.01237
0.9749, 0.571, 0.15569, 0.24817, 0.15446, 0.01237
0.9749, 0.57018, 0.15546, 0.24786, 0.15432, 0.01223
0.9749, 0.57265, 0.15627, 0.24858, 0.15495, 0.01255
0.9749, 0.57106, 0.15572, 0.24821, 0.15455, 0.01229
0.9749, 0.57153, 0.15586, 0.24829, 0.15461, 0.01247
0.9749, 0.57163, 0.15589, 0.24823, 0.15475, 0.01246
0.9749, 0.57166, 0.15596, 0.24826, 0.15467, 0.01249
0.9749, 0.5706, 0.15551, 0.24809, 0.15449, 0.0122
0.9749, 0.57085, 0.15561, 0.24816, 0.15443, 0.01234
0.9749, 0.57066, 0.1556, 0.24805, 0.15433, 0.01237
0.9749, 0.57159, 0.15584, 0.24827, 0.15467, 0.01251
0.9749, 0.57112, 0.15583, 0.24805, 0.15449, 0.01244
0.9749, 0.57158, 0.15584, 0.24818, 0.1548, 0.01247
0.9749, 0.57164, 0.15581, 0.24838, 0.15468, 0.01248
0.9749, 0.57075, 0.15553, 0.24811, 0.15438, 0.01243
0.9749, 0.57116, 0.15576, 0.24815, 0.15449, 0.01246
0.9749, 0.57079, 0.15561, 0.24803, 0.15444, 0.0124
0.9749, 0.57121, 0.15569, 0.24818, 0.15457, 0.01246
0.9749, 0.5708, 0.15559, 0.24808, 0.15443, 0.01239
0.9749, 0.57108, 0.15546, 0.24818, 0.15477, 0.01237
0.9749, 0.57059, 0.15535, 0.24812, 0.15442, 0.01239
0.9749, 0.57114, 0.15548, 0.24817, 0.15476, 0.01244
0.9749, 0.57094, 0.15545, 0.24825, 0.15453, 0.01241
0.9749, 0.57046, 0.1554, 0.24806, 0.15436, 0.01234
0.9749, 0.57083, 0.15547, 0.2482, 0.15447, 0.01239
0.9749, 0.57083, 0.15542, 0.24812, 0.15464, 0.01236
0.9749, 0.57038, 0.15534, 0.24796, 0.15445, 0.01233
0.9749, 0.57078, 0.1554, 0.24812, 0.15457, 0.01238
0.9749, 0.57064, 0.15539, 0.24807, 0.15448, 0.0124
0.9749, 0.57102, 0.15543, 0.24819, 0.15462, 0.01248
0.9749, 0.5709, 0.15545, 0.24824, 0.15447, 0.01244
0.9749, 0.57091, 0.15546, 0.24819, 0.15459, 0.01237
0.9749, 0.57082, 0.15533, 0.24819, 0.15463, 0.01238
0.9749, 0.57127, 0.15551, 0.2483, 0.15472, 0.01245
0.9749, 0.57114, 0.15548, 0.24823, 0.15468, 0.01245
0.9749, 0.57071, 0.1554, 0.24811, 0.15445, 0.01245
0.9749, 0.57083, 0.15545, 0.24816, 0.15449, 0.01242
0.9749, 0.57062, 0.15538, 0.2481, 0.15437, 0.01246
0.9749, 0.57101, 0.15554, 0.24827, 0.1545, 0.01241
0.9749, 0.57099, 0.15543, 0.24818, 0.15461, 0.01248
0.9749, 0.57055, 0.15535, 0.24806, 0.15442, 0.01242
0.9749, 0.57128, 0.15559, 0.24829, 0.15467, 0.01244
0.9749, 0.5712, 0.15568, 0.24818, 0.15456, 0.01248
0.9749, 0.57085, 0.15551, 0.24813, 0.15455, 0.01236
0.9749, 0.57085, 0.15543, 0.24822, 0.15444, 0.01246
0.9749, 0.57119, 0.15546, 0.24825, 0.15471, 0.01247
0.9749, 0.57084, 0.15542, 0.24823, 0.15445, 0.01243
0.9749, 0.57085, 0.15548, 0.24818, 0.15451, 0.01237
0.9749, 0.5708, 0.15542, 0.24809, 0.15453, 0.01245
0.9749, 0.57063, 0.1553, 0.24815, 0.15448, 0.0124
