Accuracy, Total Time, L1+L2+L3 Time, L4 Time, L5 Time, Result Time
0.9739, 0.60951, 0.30916, 0.13293, 0.15476, 0.01234
0.9739, 0.60988, 0.3092, 0.13305, 0.15483, 0.01245
0.9739, 0.60947, 0.30908, 0.13309, 0.15467, 0.01228
0.9739, 0.61008, 0.30932, 0.13315, 0.15494, 0.01234
0.9739, 0.60977, 0.30911, 0.13312, 0.15477, 0.01245
0.9739, 0.61036, 0.3093, 0.13341, 0.15485, 0.01248
0.9739, 0.61, 0.30929, 0.13312, 0.15479, 0.01247
0.9739, 0.61037, 0.30928, 0.13324, 0.15497, 0.01253
0.9739, 0.61083, 0.30938, 0.13335, 0.15507, 0.01261
0.9739, 0.60929, 0.30919, 0.13283, 0.15467, 0.01224
0.9739, 0.60973, 0.3091, 0.13301, 0.15483, 0.01235
0.9739, 0.60946, 0.30905, 0.13291, 0.15474, 0.01242
0.9739, 0.60987, 0.30911, 0.133, 0.15496, 0.01246
0.9739, 0.61034, 0.30953, 0.13325, 0.15478, 0.01246
0.9739, 0.60975, 0.30907, 0.13317, 0.15478, 0.0124
0.9739, 0.60969, 0.30906, 0.133, 0.15478, 0.01243
0.9739, 0.60979, 0.3091, 0.13308, 0.1549, 0.01238
0.9739, 0.60922, 0.309, 0.13287, 0.15462, 0.01238
0.9739, 0.60975, 0.30914, 0.13308, 0.1548, 0.01238
0.9739, 0.61035, 0.30922, 0.13325, 0.15498, 0.01249
0.9739, 0.60968, 0.30912, 0.13304, 0.1548, 0.01239
0.9739, 0.60949, 0.30884, 0.13294, 0.15477, 0.01249
0.9739, 0.6096, 0.30893, 0.13295, 0.15472, 0.01249
0.9739, 0.60955, 0.30899, 0.13312, 0.1547, 0.01243
0.9739, 0.60975, 0.30917, 0.13306, 0.15478, 0.01242
0.9739, 0.60969, 0.30899, 0.13318, 0.15481, 0.01238
0.9739, 0.61106, 0.30947, 0.13348, 0.15521, 0.01256
0.9739, 0.61043, 0.30921, 0.13325, 0.15507, 0.01256
0.9739, 0.60963, 0.30898, 0.133, 0.15475, 0.01256
0.9739, 0.61037, 0.30921, 0.13328, 0.15497, 0.01259
0.9739, 0.61064, 0.30939, 0.13334, 0.15501, 0.01259
0.9739, 0.61037, 0.30931, 0.13318, 0.15502, 0.01255
0.9739, 0.60997, 0.30928, 0.13306, 0.15487, 0.01244
0.9739, 0.60967, 0.30907, 0.13301, 0.15476, 0.01246
0.9739, 0.60978, 0.30909, 0.13307, 0.15474, 0.0125
