Accuracy, Total Time, L1+L2+L3+L4 Time, L5 Time, Result Time
0.9739, 1.05272, 0.88492, 0.15506, 0.01252
0.9739, 1.05288, 0.88489, 0.15513, 0.01263
0.9739, 1.05277, 0.88457, 0.15535, 0.01264
0.9739, 1.05319, 0.88492, 0.15528, 0.01276
0.9739, 1.05303, 0.88479, 0.15529, 0.01272
0.9739, 1.05298, 0.88477, 0.15525, 0.01275
0.9739, 1.05312, 0.88482, 0.15528, 0.01279
0.9739, 1.05307, 0.88488, 0.15519, 0.01278
0.9739, 1.05353, 0.88502, 0.15544, 0.01285
0.9739, 1.05321, 0.88485, 0.1554, 0.01274
0.9739, 1.05399, 0.88532, 0.15567, 0.01277
0.9739, 1.0531, 0.88485, 0.15526, 0.01276
0.9739, 1.05297, 0.88489, 0.1551, 0.01275
0.9739, 1.05301, 0.88485, 0.15524, 0.01269
0.9739, 1.05361, 0.88517, 0.15548, 0.01274
0.9739, 1.05331, 0.88486, 0.15539, 0.01283
0.9739, 1.05312, 0.88503, 0.15507, 0.01278
0.9739, 1.05318, 0.88497, 0.1552, 0.01278
0.9739, 1.05328, 0.88495, 0.15535, 0.01276
0.9739, 1.05292, 0.8849, 0.15507, 0.01274
0.9739, 1.05329, 0.88482, 0.15534, 0.01288
0.9739, 1.05327, 0.88497, 0.1552, 0.01287
0.9739, 1.05311, 0.88504, 0.1551, 0.01273
0.9739, 1.05332, 0.8851, 0.15519, 0.01279
0.9739, 1.05329, 0.88496, 0.15545, 0.01267
0.9739, 1.05282, 0.88479, 0.15508, 0.01273
0.9739, 1.05322, 0.88491, 0.15525, 0.01284
0.9739, 1.05264, 0.88476, 0.15513, 0.01253
0.9739, 1.05332, 0.88497, 0.15532, 0.01279
0.9739, 1.05352, 0.88499, 0.1555, 0.01279
0.9739, 1.05309, 0.88495, 0.1551, 0.01278
0.9739, 1.05338, 0.88513, 0.15523, 0.01278
0.9739, 1.05283, 0.88488, 0.1551, 0.01262
0.9739, 1.05295, 0.88494, 0.15502, 0.01267
0.9739, 1.0531, 0.88481, 0.15531, 0.01272
0.9739, 1.05281, 0.88483, 0.15496, 0.01268
0.9739, 1.05326, 0.88496, 0.15534, 0.01272
0.9739, 1.05332, 0.88483, 0.15546, 0.0128
0.9739, 1.05342, 0.88503, 0.15542, 0.01274
0.9739, 1.05358, 0.88505, 0.1555, 0.0128
0.9739, 1.05287, 0.88468, 0.15516, 0.0128
0.9739, 1.05285, 0.88476, 0.15507, 0.01278
0.9739, 1.05261, 0.88453, 0.15512, 0.0127
0.9739, 1.05289, 0.88473, 0.15519, 0.01275
