Accuracy, Total Time, L1 Time, L2 Time, L3 Time, L4 Time, L5 Time, Result Time
0.9749, 0.70179, 0.08628, 0.1292, 0.18617, 0.13195, 0.1545, 0.01278
0.9749, 0.6999, 0.0862, 0.12906, 0.18569, 0.13183, 0.15421, 0.01238
0.9749, 0.70012, 0.08601, 0.12878, 0.18566, 0.13179, 0.15437, 0.01265
0.9749, 0.70322, 0.08669, 0.12933, 0.18648, 0.13248, 0.15493, 0.01274
0.9749, 0.70195, 0.08639, 0.12914, 0.1862, 0.13204, 0.15459, 0.01269
0.9749, 0.70226, 0.08619, 0.12926, 0.18608, 0.13237, 0.15484, 0.01297
0.9749, 0.70297, 0.08626, 0.12932, 0.18628, 0.13243, 0.15522, 0.01294
0.9749, 0.70279, 0.0862, 0.12951, 0.18634, 0.13233, 0.15495, 0.01292
0.9749, 0.70312, 0.08638, 0.12938, 0.18627, 0.13262, 0.15497, 0.01293
0.9749, 0.70109, 0.08623, 0.12904, 0.18588, 0.13196, 0.15471, 0.01271
0.9749, 0.70019, 0.08589, 0.12888, 0.1859, 0.13181, 0.1545, 0.01266
0.9749, 0.70195, 0.08627, 0.12926, 0.18615, 0.13215, 0.15498, 0.0126
0.9749, 0.70132, 0.08614, 0.12914, 0.18611, 0.13204, 0.15466, 0.01269
0.9749, 0.7009, 0.08619, 0.12917, 0.18577, 0.13197, 0.15466, 0.01258
0.9749, 0.70191, 0.08617, 0.12917, 0.18609, 0.13234, 0.15479, 0.01281
0.9749, 0.69996, 0.08629, 0.12881, 0.18561, 0.13185, 0.1543, 0.01256
0.9749, 0.70084, 0.08648, 0.12909, 0.18577, 0.13212, 0.15433, 0.01249
0.9749, 0.70127, 0.08664, 0.12906, 0.18581, 0.13202, 0.15464, 0.01254
0.9749, 0.69961, 0.08618, 0.12906, 0.18554, 0.13177, 0.15413, 0.01238
0.9749, 0.70013, 0.08625, 0.12913, 0.18572, 0.13173, 0.1544, 0.01237
0.9749, 0.70088, 0.08646, 0.12916, 0.18581, 0.13191, 0.15456, 0.01244
0.9749, 0.69959, 0.08613, 0.12892, 0.18553, 0.13156, 0.15443, 0.01248
0.9749, 0.69985, 0.08618, 0.12893, 0.18563, 0.13173, 0.15438, 0.01246
0.9749, 0.70104, 0.08633, 0.1293, 0.18596, 0.13205, 0.15444, 0.01243
0.9749, 0.70031, 0.08626, 0.12903, 0.18593, 0.13179, 0.15443, 0.01234
