Accuracy, Total Time, L1+L2 Time, L3 Time, L4 Time, L5 Time, Result Time
0.9764, 0.48246, 0.11025, 0.02187, 0.12211, 0.14033, 0.08761
0.9783, 0.48213, 0.11055, 0.02157, 0.12244, 0.14003, 0.08719
0.9769, 0.48279, 0.11053, 0.02218, 0.12235, 0.13991, 0.08752
0.9769, 0.48207, 0.11009, 0.02225, 0.12242, 0.13961, 0.08728
0.9787, 0.48385, 0.11054, 0.02257, 0.12273, 0.13994, 0.08777
0.9791, 0.48252, 0.11019, 0.02192, 0.12265, 0.14002, 0.08733
0.9758, 0.48398, 0.11088, 0.02233, 0.12284, 0.13983, 0.08777
0.9762000000000001, 0.48296, 0.11042, 0.02234, 0.12256, 0.13991, 0.08743
0.9792000000000001, 0.48283, 0.11043, 0.02207, 0.12254, 0.13979, 0.08765
0.9784999999999999, 0.48301, 0.11006, 0.02252, 0.12241, 0.13994, 0.08774
0.9752, 0.48283, 0.11008, 0.02254, 0.12224, 0.13995, 0.08773
0.9790000000000001, 0.48419, 0.11074, 0.02269, 0.12254, 0.14002, 0.08786
0.9765, 0.48414, 0.11043, 0.02326, 0.12253, 0.13983, 0.08772
0.9782, 0.48446, 0.11053, 0.02306, 0.12259, 0.14005, 0.08791
0.9799, 0.48404, 0.11041, 0.02278, 0.12257, 0.14052, 0.08747
0.9773999999999999, 0.48259, 0.11006, 0.02207, 0.12256, 0.13987, 0.08729
0.9779000000000001, 0.48378, 0.11007, 0.02274, 0.12263, 0.14027, 0.08756
0.9792000000000001, 0.48399, 0.11054, 0.02266, 0.12262, 0.14005, 0.0878
0.976, 0.48413, 0.11026, 0.02295, 0.12247, 0.14011, 0.08801
0.9784, 0.48284, 0.11046, 0.02186, 0.12272, 0.13998, 0.08753
0.9783, 0.48311, 0.11058, 0.02233, 0.1223, 0.1401, 0.0875
0.9793000000000001, 0.48215, 0.11059, 0.02145, 0.12275, 0.13984, 0.08719
0.9753000000000001, 0.48391, 0.11053, 0.0225, 0.12277, 0.13985, 0.08797
0.9788, 0.48281, 0.11024, 0.02224, 0.12227, 0.14005, 0.0876
0.9804999999999999, 0.48283, 0.11014, 0.02251, 0.12242, 0.13969, 0.08779
0.9778, 0.48406, 0.11047, 0.0229, 0.12292, 0.13981, 0.08763
0.9804, 0.48389, 0.11028, 0.02288, 0.12258, 0.14023, 0.08759
0.9784999999999999, 0.48424, 0.11035, 0.02308, 0.12267, 0.14011, 0.08767
0.9779000000000001, 0.48273, 0.11053, 0.02215, 0.12229, 0.14004, 0.08738
0.9732, 0.48387, 0.11072, 0.02243, 0.12279, 0.13987, 0.0877
0.9804999999999999, 0.48362, 0.11047, 0.02248, 0.12256, 0.14025, 0.08757
0.9756, 0.48283, 0.11042, 0.02212, 0.12251, 0.13995, 0.08753
0.9795, 0.48332, 0.11021, 0.02268, 0.12246, 0.14004, 0.08764
0.9765999999999999, 0.48427, 0.1102, 0.02339, 0.12264, 0.14, 0.08768
0.9806, 0.48302, 0.11005, 0.02245, 0.12239, 0.13976, 0.08794
0.9779000000000001, 0.48243, 0.11005, 0.02207, 0.12248, 0.13998, 0.08753
0.9783, 0.48265, 0.11, 0.02233, 0.12235, 0.13995, 0.08773
0.9783, 0.48436, 0.11051, 0.02283, 0.12304, 0.14011, 0.08759
0.9793000000000001, 0.48444, 0.11051, 0.02316, 0.12257, 0.1401, 0.08775
0.9781, 0.4837, 0.11069, 0.02245, 0.12264, 0.14031, 0.0873
0.9793999999999999, 0.48402, 0.1106, 0.02293, 0.12249, 0.13999, 0.08767
0.9765, 0.48417, 0.11087, 0.02265, 0.1227, 0.13978, 0.08783
0.977, 0.48399, 0.11063, 0.02254, 0.12266, 0.14016, 0.08757
0.9795, 0.48294, 0.11053, 0.02251, 0.12249, 0.1402, 0.08693
0.9793999999999999, 0.48405, 0.1108, 0.02273, 0.1226, 0.14006, 0.08753
0.9793000000000001, 0.48228, 0.11055, 0.02205, 0.12224, 0.13983, 0.08733
0.9768000000000001, 0.48247, 0.11035, 0.02214, 0.12256, 0.13981, 0.08721
0.9763, 0.48285, 0.11035, 0.02235, 0.12232, 0.13996, 0.08752
0.9789, 0.4827, 0.11018, 0.02227, 0.12264, 0.1399, 0.08734
0.9775, 0.48407, 0.1105, 0.02259, 0.12281, 0.14007, 0.08778
0.9778, 0.48267, 0.11031, 0.02227, 0.12233, 0.13967, 0.08775
0.9789, 0.48247, 0.11024, 0.0224, 0.12227, 0.13993, 0.08729
0.9799, 0.48364, 0.11044, 0.02279, 0.1225, 0.14022, 0.08737
0.9765, 0.48375, 0.11033, 0.02248, 0.12266, 0.14017, 0.08779
0.9743999999999999, 0.48417, 0.1102, 0.02315, 0.12263, 0.14009, 0.08775
