Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9764, 0.44714, 0.10947, 0.02246, 0.12093, 0.19405
0.9783, 0.44696, 0.10973, 0.02222, 0.12107, 0.19373
0.9769, 0.44746, 0.10974, 0.02266, 0.12067, 0.19416
0.9769, 0.44764, 0.1095, 0.02285, 0.12091, 0.19414
0.9787, 0.44819, 0.10957, 0.02311, 0.12122, 0.19407
0.9791, 0.4471, 0.10944, 0.02237, 0.12116, 0.1939
0.9758, 0.44858, 0.11021, 0.02299, 0.12115, 0.194
0.9762000000000001, 0.44604, 0.10942, 0.02281, 0.12026, 0.19333
0.9792000000000001, 0.44762, 0.11005, 0.02216, 0.12111, 0.19407
0.9784999999999999, 0.44594, 0.10947, 0.02272, 0.12035, 0.19315
0.9752, 0.4476, 0.10937, 0.02295, 0.12101, 0.19404
0.9790000000000001, 0.44839, 0.10973, 0.02293, 0.12126, 0.19419
0.9765, 0.44888, 0.10962, 0.02335, 0.12121, 0.19441
0.9782, 0.44744, 0.10983, 0.02318, 0.12072, 0.19342
0.9799, 0.44684, 0.10953, 0.02289, 0.12092, 0.19327
0.9773999999999999, 0.44752, 0.10939, 0.02255, 0.12095, 0.19408
0.9779000000000001, 0.44686, 0.10963, 0.02317, 0.12049, 0.19327
0.9792000000000001, 0.44858, 0.10961, 0.02321, 0.12111, 0.1944
0.976, 0.44703, 0.1095, 0.0233, 0.12028, 0.19373
0.9784, 0.44757, 0.10957, 0.02278, 0.12099, 0.194
0.9783, 0.44762, 0.10976, 0.02257, 0.12086, 0.1942
0.9793000000000001, 0.44558, 0.10976, 0.02211, 0.12028, 0.19322
0.9753000000000001, 0.44702, 0.10971, 0.02316, 0.12043, 0.19349
0.9788, 0.4461, 0.10965, 0.02252, 0.12014, 0.19351
0.9804999999999999, 0.44607, 0.10957, 0.02248, 0.12008, 0.19329
0.9778, 0.44698, 0.10952, 0.02319, 0.12055, 0.19348
0.9804, 0.44699, 0.10947, 0.02333, 0.12042, 0.19354
0.9784999999999999, 0.44881, 0.10978, 0.0236, 0.12104, 0.19415
0.9779000000000001, 0.44765, 0.10975, 0.02269, 0.12084, 0.19413
0.9732, 0.44844, 0.10985, 0.02291, 0.12122, 0.19422
0.9804999999999999, 0.44829, 0.10967, 0.02305, 0.12127, 0.19408
0.9756, 0.44596, 0.10976, 0.02236, 0.12038, 0.19323
0.9795, 0.44786, 0.10991, 0.02265, 0.12099, 0.19408
0.9765999999999999, 0.44906, 0.10948, 0.02352, 0.12138, 0.19446
0.9806, 0.44778, 0.10936, 0.02289, 0.12084, 0.19447
0.9779000000000001, 0.44713, 0.1093, 0.02247, 0.12105, 0.19409
0.9783, 0.44744, 0.10936, 0.02277, 0.12091, 0.19411
0.9783, 0.44735, 0.10964, 0.0233, 0.12046, 0.19368
0.9793000000000001, 0.44733, 0.10962, 0.0236, 0.12044, 0.19339
0.9781, 0.4468, 0.10971, 0.02283, 0.1206, 0.19343
0.9793999999999999, 0.44694, 0.10962, 0.02324, 0.1204, 0.19339
0.9765, 0.44686, 0.10984, 0.02293, 0.12032, 0.19354
0.977, 0.44687, 0.11, 0.02311, 0.12033, 0.19312
0.9795, 0.44767, 0.10942, 0.02276, 0.12111, 0.19411
0.9793999999999999, 0.44861, 0.10998, 0.02333, 0.1209, 0.19417
0.9793000000000001, 0.44718, 0.10965, 0.02228, 0.12105, 0.19397
0.9768000000000001, 0.44743, 0.10975, 0.02257, 0.12089, 0.194
0.9763, 0.44757, 0.10951, 0.02266, 0.12093, 0.19425
0.9789, 0.44746, 0.10959, 0.02272, 0.12091, 0.194
0.9775, 0.44866, 0.10966, 0.02324, 0.12116, 0.19438
0.9778, 0.44744, 0.10963, 0.02256, 0.12088, 0.19413
0.9789, 0.44733, 0.10953, 0.02257, 0.12089, 0.19407
0.9799, 0.44677, 0.10969, 0.02319, 0.12046, 0.19321
0.9765, 0.4467, 0.10958, 0.02317, 0.12052, 0.1932
0.9743999999999999, 0.44896, 0.10973, 0.0235, 0.12104, 0.19443
0.9790000000000001, 0.44815, 0.10909, 0.0229, 0.12119, 0.19461
0.9790000000000001, 0.44859, 0.1094, 0.02341, 0.12132, 0.19424
0.9738, 0.44749, 0.10943, 0.02274, 0.12039, 0.19427
0.9775, 0.44555, 0.10936, 0.02237, 0.12037, 0.19316
0.9784, 0.44586, 0.10938, 0.02248, 0.12029, 0.19305
0.9783, 0.44842, 0.10943, 0.0232, 0.1212, 0.19435
0.9778, 0.4486, 0.10992, 0.02298, 0.12137, 0.1941
0.9778, 0.44724, 0.10963, 0.02348, 0.12027, 0.19363
0.9769, 0.4477, 0.10953, 0.0228, 0.1209, 0.19425
0.9772, 0.447, 0.10975, 0.02336, 0.1202, 0.19345
0.9745, 0.44619, 0.10945, 0.02285, 0.12022, 0.19344
0.9764, 0.44593, 0.10937, 0.02262, 0.12032, 0.19334
0.9743999999999999, 0.44769, 0.10988, 0.02234, 0.12106, 0.19417
0.9789, 0.44571, 0.10916, 0.02284, 0.12019, 0.19328
0.9773000000000001, 0.44557, 0.10954, 0.02229, 0.12027, 0.19323
0.9778, 0.44879, 0.10959, 0.02335, 0.12123, 0.19436
0.9778, 0.44851, 0.1097, 0.02328, 0.12101, 0.1943
0.98, 0.44746, 0.1097, 0.02239, 0.12115, 0.194
0.9763, 0.44724, 0.10937, 0.02236, 0.12098, 0.19413
0.9765999999999999, 0.44757, 0.10961, 0.02274, 0.12074, 0.19424
0.9801000000000001, 0.4484, 0.10956, 0.02312, 0.12126, 0.19423
0.9764, 0.44832, 0.10996, 0.02285, 0.12107, 0.19421
0.9802, 0.44871, 0.10995, 0.02294, 0.12129, 0.19428
0.9788, 0.44746, 0.10954, 0.02255, 0.12088, 0.19423
0.9793000000000001, 0.44792, 0.10963, 0.02273, 0.12114, 0.19417
0.9781, 0.44726, 0.10951, 0.02233, 0.12126, 0.1939
0.9781, 0.4488, 0.10995, 0.02333, 0.121, 0.19425
0.978, 0.44761, 0.10928, 0.02286, 0.12118, 0.19406
0.9778, 0.44769, 0.10976, 0.02279, 0.12085, 0.19387
0.9814, 0.44598, 0.10944, 0.02268, 0.12036, 0.19327
0.9758, 0.44793, 0.10975, 0.02285, 0.12076, 0.19434
0.9789, 0.44752, 0.10947, 0.0225, 0.1212, 0.19413
0.9802, 0.44886, 0.11006, 0.02334, 0.12119, 0.19404
0.9788, 0.44861, 0.11, 0.02288, 0.12136, 0.19414
0.977, 0.44847, 0.10963, 0.02332, 0.12114, 0.19415
0.9809, 0.44725, 0.10928, 0.02257, 0.12134, 0.19379
0.9786, 0.44838, 0.10939, 0.0235, 0.12104, 0.1942
0.9784999999999999, 0.44808, 0.10998, 0.02237, 0.12142, 0.19409
0.9799, 0.44727, 0.10959, 0.02261, 0.12071, 0.19413
0.9776, 0.44808, 0.10964, 0.02282, 0.12128, 0.19407
0.9773000000000001, 0.44743, 0.10956, 0.02235, 0.12131, 0.19397
0.9791, 0.4476, 0.10994, 0.02249, 0.12086, 0.19407
0.9775, 0.44738, 0.10934, 0.02266, 0.12112, 0.19403
0.9797, 0.44712, 0.10966, 0.02207, 0.12115, 0.19395
0.9788, 0.44725, 0.10938, 0.02243, 0.12102, 0.19416
