Accuracy, Total Time, L1+L2+L3 Time, L4 Time, L5 Time, Result Time
0.9756999999999999, 0.47199, 0.1104, 0.0213, 0.25183, 0.08823
0.9782, 0.47077, 0.11053, 0.02139, 0.25095, 0.08764
0.9775, 0.47127, 0.1103, 0.02204, 0.25084, 0.08787
0.977, 0.47074, 0.11013, 0.02203, 0.25065, 0.08769
0.9786, 0.47249, 0.1109, 0.02243, 0.25106, 0.08788
0.9790000000000001, 0.47138, 0.11037, 0.02163, 0.25131, 0.08776
0.9769, 0.47267, 0.11071, 0.02263, 0.25101, 0.08808
0.9764, 0.47201, 0.11108, 0.0214, 0.25151, 0.08779
0.9791, 0.47162, 0.11036, 0.0217, 0.2515, 0.08776
0.9779000000000001, 0.4718, 0.11055, 0.0221, 0.25103, 0.08788
0.9756, 0.47177, 0.11058, 0.02164, 0.25148, 0.08779
0.9793000000000001, 0.47267, 0.11036, 0.02245, 0.25135, 0.08812
0.9762000000000001, 0.473, 0.11057, 0.02289, 0.25128, 0.08797
0.9784999999999999, 0.47306, 0.11055, 0.02269, 0.25144, 0.08815
0.9799, 0.47252, 0.11041, 0.02217, 0.2516, 0.08811
0.9772, 0.47154, 0.11073, 0.02117, 0.25141, 0.08769
0.9777, 0.47248, 0.11063, 0.02241, 0.25121, 0.08797
0.9793999999999999, 0.47259, 0.1108, 0.02224, 0.25143, 0.0879
0.9761, 0.47253, 0.11038, 0.02259, 0.25123, 0.0881
0.9786, 0.47166, 0.11051, 0.02159, 0.25148, 0.08785
0.9777, 0.47151, 0.11046, 0.02183, 0.25092, 0.08808
0.9792000000000001, 0.47104, 0.11046, 0.0215, 0.25116, 0.08769
0.9752, 0.47258, 0.11069, 0.02241, 0.25121, 0.08804
0.9791, 0.47164, 0.11029, 0.02209, 0.25109, 0.08791
0.9804999999999999, 0.4716, 0.1103, 0.02195, 0.25114, 0.08797
0.9778, 0.47279, 0.11034, 0.02256, 0.2517, 0.08785
0.9809, 0.47256, 0.11037, 0.02251, 0.25127, 0.08816
0.978, 0.47288, 0.11037, 0.02297, 0.25089, 0.08828
0.9778, 0.47169, 0.11086, 0.02145, 0.25134, 0.08774
0.9732999999999999, 0.47263, 0.11077, 0.02244, 0.25128, 0.08789
0.9798, 0.47226, 0.11074, 0.02193, 0.25132, 0.08799
0.975, 0.47207, 0.11047, 0.02206, 0.25148, 0.08778
0.9793999999999999, 0.47195, 0.11044, 0.02202, 0.25138, 0.08788
0.9769, 0.47311, 0.11056, 0.02289, 0.25161, 0.08782
0.9795999999999999, 0.47192, 0.11036, 0.02206, 0.25122, 0.08804
0.9765999999999999, 0.47116, 0.11015, 0.02177, 0.25118, 0.0878
0.9784999999999999, 0.47177, 0.11061, 0.02153, 0.25158, 0.08783
0.9783, 0.47312, 0.11076, 0.02267, 0.25142, 0.08803
0.9790000000000001, 0.47295, 0.11045, 0.02307, 0.25108, 0.08811
0.9779000000000001, 0.47214, 0.11044, 0.02224, 0.25121, 0.08802
0.9793999999999999, 0.47249, 0.11062, 0.0226, 0.2512, 0.08784
0.9763, 0.47257, 0.11072, 0.02258, 0.25105, 0.08794
0.9762000000000001, 0.47251, 0.11059, 0.02234, 0.2515, 0.08776
0.9792000000000001, 0.47172, 0.11074, 0.02228, 0.25097, 0.0875
0.98, 0.47251, 0.11083, 0.02234, 0.25143, 0.08767
0.9802, 0.47107, 0.11037, 0.02145, 0.25128, 0.08773
0.9767, 0.47128, 0.11024, 0.02158, 0.25131, 0.08784
0.9767, 0.47146, 0.11019, 0.02214, 0.25104, 0.08786
0.9787, 0.47164, 0.11051, 0.02155, 0.25123, 0.08801
0.9767, 0.47275, 0.11057, 0.02234, 0.25154, 0.08808
0.9777, 0.47148, 0.11044, 0.02186, 0.25136, 0.08756
0.9795999999999999, 0.47127, 0.11017, 0.02187, 0.25108, 0.08787
0.9803000000000001, 0.47216, 0.11058, 0.02235, 0.25114, 0.08786
0.9764, 0.47247, 0.11034, 0.02247, 0.2514, 0.08793
0.9742000000000001, 0.47299, 0.1101, 0.02296, 0.25136, 0.08828
0.9786, 0.47256, 0.11062, 0.02207, 0.25174, 0.08784
0.9795, 0.47281, 0.1106, 0.02234, 0.25142, 0.08822
0.9742000000000001, 0.47157, 0.11085, 0.02167, 0.25107, 0.08775
0.9784, 0.47141, 0.11018, 0.02134, 0.2519, 0.08773
0.9784, 0.47165, 0.11042, 0.02177, 0.25145, 0.08779
0.9779000000000001, 0.47244, 0.11084, 0.02245, 0.25093, 0.08795
0.977, 0.47271, 0.11068, 0.0226, 0.25139, 0.08779
0.9773000000000001, 0.4729, 0.11069, 0.0227, 0.25137, 0.08791
0.9764, 0.47195, 0.11061, 0.02213, 0.25094, 0.08803
0.9768000000000001, 0.47245, 0.11037, 0.02259, 0.25129, 0.08798
0.9741, 0.47184, 0.11044, 0.02208, 0.25095, 0.08813
0.9763, 0.47131, 0.11019, 0.02195, 0.25116, 0.08778
0.9745999999999999, 0.47146, 0.1107, 0.02147, 0.25119, 0.08786
0.9792000000000001, 0.47108, 0.11013, 0.022, 0.25087, 0.08777
0.9775, 0.47136, 0.11028, 0.02173, 0.25134, 0.08777
0.9779000000000001, 0.47289, 0.11059, 0.02256, 0.25111, 0.08827
0.9777, 0.47248, 0.11036, 0.02258, 0.25144, 0.08788
0.9803000000000001, 0.47173, 0.11062, 0.02191, 0.25128, 0.0877
0.9753000000000001, 0.47145, 0.11041, 0.02134, 0.25127, 0.08767
0.9761, 0.47169, 0.11075, 0.02162, 0.2513, 0.08772
0.9795999999999999, 0.47246, 0.11046, 0.02247, 0.25121, 0.08808
0.9765999999999999, 0.47226, 0.11046, 0.02221, 0.25141, 0.08795
0.9795, 0.47277, 0.11087, 0.02217, 0.25164, 0.08784
0.9783, 0.47176, 0.11076, 0.02182, 0.25121, 0.08774
0.9791, 0.4721, 0.11078, 0.02197, 0.25121, 0.08791
0.9778, 0.47156, 0.11045, 0.0213, 0.25162, 0.08774
0.9783, 0.4727, 0.11034, 0.02273, 0.25104, 0.0883
0.9783, 0.47216, 0.11068, 0.0222, 0.25118, 0.08786
0.9787, 0.47175, 0.11038, 0.02214, 0.25097, 0.08788
0.9806999999999999, 0.47178, 0.11069, 0.02178, 0.25147, 0.08761
0.9756, 0.47226, 0.11066, 0.02223, 0.25112, 0.08801
