Accuracy, Total Time, L1+L2+L3+L4 Time, L5 Time, Result Time
0.9756999999999999, 0.93565, 0.10973, 0.02116, 0.80458
0.9782, 0.93672, 0.11023, 0.0209, 0.80542
0.9775, 0.93623, 0.10992, 0.02153, 0.80459
0.977, 0.93727, 0.10979, 0.0216, 0.80571
0.9786, 0.93716, 0.1102, 0.0217, 0.80509
0.9790000000000001, 0.93656, 0.11029, 0.02098, 0.80512
0.9769, 0.93757, 0.11042, 0.02172, 0.80524
0.9764, 0.93582, 0.1103, 0.02126, 0.80409
0.9791, 0.9365, 0.11084, 0.02063, 0.80486
0.9779000000000001, 0.936, 0.11015, 0.02147, 0.80422
0.9756, 0.9367, 0.11022, 0.02113, 0.80515
0.9793000000000001, 0.93765, 0.11053, 0.0219, 0.80504
0.9762000000000001, 0.93779, 0.11006, 0.02213, 0.80529
0.9784999999999999, 0.9345, 0.11033, 0.02206, 0.80194
0.9799, 0.9366, 0.11007, 0.02196, 0.80439
0.9772, 0.93664, 0.11023, 0.02104, 0.80502
0.9777, 0.93725, 0.11066, 0.02204, 0.80438
0.9793999999999999, 0.9374, 0.11045, 0.02175, 0.80502
0.9761, 0.93699, 0.11027, 0.02192, 0.80462
0.9786, 0.9366, 0.11021, 0.02091, 0.80531
0.9777, 0.93633, 0.11014, 0.02114, 0.80489
0.9792000000000001, 0.93424, 0.11004, 0.02101, 0.80298
0.9752, 0.93579, 0.1103, 0.02166, 0.8036
0.9791, 0.93516, 0.11, 0.02143, 0.80352
0.9804999999999999, 0.93378, 0.11011, 0.02154, 0.80196
0.9778, 0.93551, 0.11001, 0.02203, 0.80329
0.9809, 0.93432, 0.11029, 0.02202, 0.80183
0.978, 0.93764, 0.11008, 0.02233, 0.80505
0.9778, 0.93658, 0.11032, 0.02113, 0.80494
0.9732999999999999, 0.93739, 0.11031, 0.0218, 0.80511
0.9798, 0.93694, 0.10986, 0.02196, 0.80495
0.975, 0.93409, 0.11045, 0.02116, 0.8023
0.9793999999999999, 0.93693, 0.11004, 0.02165, 0.80506
0.9769, 0.93779, 0.11018, 0.02214, 0.8053
0.9795999999999999, 0.93669, 0.11032, 0.02116, 0.80503
0.9765999999999999, 0.93644, 0.11019, 0.02101, 0.80507
0.9784999999999999, 0.93645, 0.11015, 0.02126, 0.80487
0.9783, 0.93515, 0.11054, 0.02193, 0.80251
0.9790000000000001, 0.93723, 0.11062, 0.02173, 0.80469
0.9779000000000001, 0.93505, 0.10999, 0.0218, 0.80308
0.9793999999999999, 0.93493, 0.11036, 0.02195, 0.80244
0.9763, 0.93407, 0.11033, 0.02191, 0.80165
0.9762000000000001, 0.93627, 0.11048, 0.02181, 0.80374
0.9792000000000001, 0.93754, 0.11, 0.02128, 0.80609
0.98, 0.93744, 0.11042, 0.02178, 0.80507
0.9802, 0.93611, 0.10994, 0.02106, 0.80491
0.9767, 0.93643, 0.11013, 0.02094, 0.80519
0.9767, 0.93672, 0.11011, 0.02131, 0.80513
0.9787, 0.93672, 0.11013, 0.02103, 0.80536
0.9767, 0.93753, 0.11035, 0.0219, 0.8051
0.9777, 0.9367, 0.11015, 0.02125, 0.8051
0.9795999999999999, 0.93627, 0.11024, 0.02104, 0.80481
0.9803000000000001, 0.93484, 0.11029, 0.02169, 0.80267
0.9764, 0.93885, 0.11045, 0.02189, 0.80632
0.9742000000000001, 0.93783, 0.10998, 0.02217, 0.8055
0.9786, 0.93749, 0.11024, 0.02135, 0.80561
0.9795, 0.93779, 0.11018, 0.02211, 0.80534
0.9742000000000001, 0.93653, 0.11045, 0.02103, 0.80487
0.9784, 0.93373, 0.10997, 0.02086, 0.80273
0.9784, 0.93373, 0.11014, 0.02124, 0.80217
0.9779000000000001, 0.93738, 0.11025, 0.02203, 0.80492
0.977, 0.93758, 0.11039, 0.02187, 0.80515
0.9773000000000001, 0.93758, 0.11032, 0.02194, 0.80515
0.9764, 0.93693, 0.11021, 0.02164, 0.80485
0.9768000000000001, 0.9351, 0.1101, 0.02206, 0.80277
0.9741, 0.93663, 0.11026, 0.02146, 0.80473
0.9763, 0.93329, 0.10992, 0.0213, 0.8019
0.9745999999999999, 0.93631, 0.11023, 0.02089, 0.80501
