Accuracy, Total Time, L1 Time, L2 Time, L3 Time, L4 Time, L5 Time, Result Time
0.9793000000000001, 0.59598, 0.11001, 0.0226, 0.05074, 0.14198, 0.17979, 0.09043
0.9784999999999999, 0.59534, 0.10967, 0.02255, 0.05057, 0.14214, 0.17967, 0.09023
0.9802, 0.59591, 0.10959, 0.02304, 0.05047, 0.14199, 0.17968, 0.09014
0.9791, 0.59515, 0.10975, 0.02243, 0.05064, 0.14207, 0.17985, 0.09006
0.9765, 0.59453, 0.10951, 0.02223, 0.05039, 0.14209, 0.17987, 0.09007
0.98, 0.59541, 0.10971, 0.02256, 0.05045, 0.14222, 0.17983, 0.09029
0.9767, 0.59444, 0.10968, 0.02235, 0.05043, 0.14208, 0.17946, 0.08989
0.9795, 0.59601, 0.10996, 0.02226, 0.0509, 0.14227, 0.17982, 0.09016
0.9788, 0.59477, 0.10964, 0.02244, 0.05043, 0.14218, 0.17955, 0.09016
0.9745, 0.597, 0.11008, 0.02286, 0.05071, 0.14238, 0.18019, 0.09043
0.9788, 0.59598, 0.10985, 0.02246, 0.0507, 0.14234, 0.17965, 0.09063
0.9797, 0.59547, 0.10973, 0.02233, 0.05065, 0.14219, 0.17995, 0.09026
0.9779000000000001, 0.59642, 0.10969, 0.02236, 0.05081, 0.14253, 0.18003, 0.09065
0.9775, 0.59459, 0.10984, 0.0222, 0.0504, 0.14223, 0.17949, 0.09008
0.9786, 0.5961, 0.10994, 0.02216, 0.05093, 0.14219, 0.18026, 0.09027
0.9795999999999999, 0.59696, 0.10995, 0.02275, 0.05118, 0.14216, 0.18023, 0.09033
0.9792000000000001, 0.59509, 0.10982, 0.0221, 0.0506, 0.14212, 0.18005, 0.09002
0.9768000000000001, 0.59768, 0.11024, 0.02311, 0.05079, 0.14242, 0.18028, 0.09048
0.9797, 0.59539, 0.10972, 0.02248, 0.05097, 0.14199, 0.1797, 0.09014
0.9787, 0.59607, 0.10988, 0.02216, 0.05071, 0.14256, 0.1801, 0.09007
0.9791, 0.59495, 0.10998, 0.02217, 0.05047, 0.14213, 0.17982, 0.08998
0.9768000000000001, 0.59689, 0.11006, 0.02264, 0.0508, 0.1426, 0.18006, 0.09038
0.9768000000000001, 0.59558, 0.10976, 0.02218, 0.05077, 0.14212, 0.17982, 0.09052
0.9782, 0.59696, 0.11004, 0.02306, 0.05084, 0.14222, 0.18019, 0.09017
0.9812000000000001, 0.59591, 0.10965, 0.02239, 0.05097, 0.14219, 0.17979, 0.09051
0.9782, 0.59541, 0.10928, 0.02271, 0.05082, 0.14198, 0.17996, 0.09031
0.9736, 0.59539, 0.10995, 0.02254, 0.05061, 0.14208, 0.17975, 0.09012
0.9763, 0.59431, 0.10966, 0.02229, 0.05052, 0.14187, 0.17966, 0.08996
0.98, 0.5958, 0.10989, 0.02216, 0.05073, 0.14232, 0.17993, 0.09042
0.978, 0.5954, 0.10948, 0.02265, 0.05056, 0.14212, 0.17994, 0.09029
0.9778, 0.59449, 0.10956, 0.02242, 0.0504, 0.14209, 0.17961, 0.09007
0.9788, 0.59578, 0.10959, 0.02267, 0.05075, 0.1423, 0.1796, 0.09052
0.9778, 0.59632, 0.11, 0.02217, 0.05079, 0.14246, 0.18004, 0.09049
0.9790000000000001, 0.59543, 0.10999, 0.02205, 0.05067, 0.14215, 0.17984, 0.09038
