Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9793000000000001, 0.44726, 0.10964, 0.02335, 0.12028, 0.19333
0.9784999999999999, 0.44738, 0.1094, 0.02255, 0.12119, 0.19372
0.9802, 0.44708, 0.10982, 0.02281, 0.12053, 0.19329
0.9791, 0.4457, 0.1095, 0.02248, 0.12029, 0.19322
0.9765, 0.44767, 0.10951, 0.02268, 0.1211, 0.19415
0.98, 0.44729, 0.10955, 0.02245, 0.12106, 0.194
0.9767, 0.44738, 0.10956, 0.02201, 0.12154, 0.19391
0.9795, 0.44841, 0.10952, 0.02319, 0.12133, 0.19408
0.9788, 0.44736, 0.10949, 0.02245, 0.12088, 0.19389
0.9745, 0.44853, 0.10958, 0.02313, 0.12128, 0.19432
0.9788, 0.4488, 0.10953, 0.02342, 0.12148, 0.19415
0.9797, 0.44744, 0.10944, 0.02286, 0.12092, 0.19398
0.9779000000000001, 0.44854, 0.10945, 0.02335, 0.12112, 0.1944
0.9775, 0.4472, 0.10941, 0.02225, 0.12108, 0.19423
0.9786, 0.44762, 0.10937, 0.02283, 0.12105, 0.19414
0.9795999999999999, 0.44873, 0.10962, 0.02316, 0.12119, 0.19453
0.9792000000000001, 0.4473, 0.10956, 0.02282, 0.12099, 0.1937
0.9768000000000001, 0.44854, 0.10974, 0.02311, 0.1214, 0.19407
0.9797, 0.44795, 0.10949, 0.02268, 0.12118, 0.19437
0.9787, 0.44861, 0.1095, 0.02314, 0.12141, 0.19413
0.9791, 0.44745, 0.10933, 0.02295, 0.12111, 0.19381
0.9768000000000001, 0.4489, 0.10948, 0.02319, 0.12117, 0.19439
0.9768000000000001, 0.44851, 0.10965, 0.02332, 0.12114, 0.19417
0.9782, 0.44826, 0.10961, 0.02302, 0.12119, 0.19414
0.9812000000000001, 0.44766, 0.1096, 0.02268, 0.12099, 0.19416
0.9782, 0.4482, 0.10978, 0.02288, 0.12161, 0.19365
0.9736, 0.44756, 0.10954, 0.02251, 0.12107, 0.19421
0.9763, 0.44717, 0.10941, 0.02256, 0.12089, 0.19408
0.98, 0.44859, 0.10962, 0.02331, 0.12124, 0.19418
0.978, 0.44726, 0.10957, 0.02237, 0.12115, 0.19394
0.9778, 0.44732, 0.10937, 0.02259, 0.12114, 0.194
0.9788, 0.44809, 0.10953, 0.02299, 0.12111, 0.19423
0.9778, 0.44859, 0.10962, 0.02335, 0.12121, 0.19417
0.9790000000000001, 0.44855, 0.10968, 0.02318, 0.12123, 0.19423
0.9784999999999999, 0.448, 0.10943, 0.02282, 0.1212, 0.19431
0.9788, 0.44803, 0.10971, 0.02295, 0.12102, 0.19412
0.9786, 0.44836, 0.10974, 0.02301, 0.1214, 0.19399
0.9769, 0.44837, 0.10983, 0.02312, 0.12122, 0.19398
0.9793000000000001, 0.44763, 0.10952, 0.02268, 0.121, 0.19421
0.9813, 0.44701, 0.10976, 0.02193, 0.12116, 0.19394
0.9792000000000001, 0.44749, 0.1098, 0.02225, 0.12121, 0.194
0.9782, 0.44736, 0.10954, 0.02272, 0.12088, 0.19399
0.9784999999999999, 0.44745, 0.10956, 0.02269, 0.12077, 0.19418
0.9788, 0.44721, 0.10959, 0.02229, 0.12123, 0.19386
0.9792000000000001, 0.4486, 0.10963, 0.02342, 0.12113, 0.1942
