Accuracy, Total Time, L1+L2+L3+L4 Time, L5 Time, Result Time
0.9791, 0.93763, 0.11059, 0.02197, 0.80484
0.9788, 0.93625, 0.11028, 0.02081, 0.80493
0.9801000000000001, 0.93561, 0.11018, 0.0218, 0.80314
0.9789, 0.93404, 0.11059, 0.0206, 0.80268
0.9764, 0.93731, 0.11022, 0.02166, 0.80525
0.9806, 0.93544, 0.11022, 0.0209, 0.80399
0.9762000000000001, 0.93426, 0.10998, 0.02095, 0.80304
0.98, 0.93577, 0.11036, 0.02174, 0.80342
0.9784, 0.93468, 0.11019, 0.02107, 0.80325
0.9738, 0.93555, 0.1102, 0.02191, 0.80326
0.9784, 0.93553, 0.11028, 0.02204, 0.80304
0.9790000000000001, 0.93492, 0.11014, 0.02155, 0.80306
0.9775, 0.93565, 0.11038, 0.02201, 0.80309
0.9773999999999999, 0.93456, 0.11017, 0.02114, 0.80307
0.978, 0.93519, 0.1102, 0.02183, 0.80299
0.9793000000000001, 0.9356, 0.11034, 0.02164, 0.80346
0.9789, 0.93453, 0.11005, 0.02129, 0.80302
0.9759, 0.93501, 0.11031, 0.02141, 0.80311
0.9801000000000001, 0.93494, 0.11036, 0.02117, 0.80325
0.9786, 0.93582, 0.11021, 0.02203, 0.80324
0.9790000000000001, 0.9347, 0.11033, 0.02097, 0.80317
0.9768000000000001, 0.9358, 0.11005, 0.02203, 0.80317
0.9771, 0.93573, 0.11036, 0.02177, 0.80343
0.9778, 0.93524, 0.11014, 0.02178, 0.80314
0.9815, 0.93519, 0.11043, 0.02165, 0.80292
0.9784999999999999, 0.93566, 0.11024, 0.0216, 0.80365
0.9734999999999999, 0.93466, 0.11009, 0.02104, 0.80335
0.9761, 0.93425, 0.11, 0.02073, 0.80334
0.9806, 0.93587, 0.11049, 0.02189, 0.80333
0.9782, 0.93448, 0.11031, 0.02106, 0.80294
0.9783, 0.93459, 0.1103, 0.02084, 0.80328
0.9784, 0.93549, 0.11059, 0.02136, 0.80337
0.9775, 0.93596, 0.1104, 0.02225, 0.80313
0.9795, 0.93573, 0.11024, 0.02195, 0.80331
0.9792000000000001, 0.93537, 0.1106, 0.02144, 0.80315
0.9790000000000001, 0.93535, 0.11015, 0.02156, 0.80345
0.9779000000000001, 0.9352, 0.11006, 0.02191, 0.80306
0.9767, 0.9352, 0.11017, 0.02167, 0.80319
0.9791, 0.9346, 0.11045, 0.02093, 0.80303
0.9813, 0.93412, 0.10994, 0.02103, 0.80298
0.978, 0.93531, 0.11008, 0.02129, 0.80371
0.9781, 0.93437, 0.11011, 0.02104, 0.80305
0.9779000000000001, 0.9345, 0.11012, 0.02125, 0.80296
0.9789, 0.93468, 0.11019, 0.02099, 0.80333
0.9793999999999999, 0.93592, 0.11058, 0.02185, 0.80331
0.9768000000000001, 0.93514, 0.11006, 0.02167, 0.80324
0.9790000000000001, 0.93518, 0.10995, 0.0218, 0.8032
